Station,Show,Snippet
CNN,Fareed Zakaria GPS,million line commuter code need work fundamental basic known long time changed last century rate omitting greenhouse gas
CNN,Early Start with Christine Romans and Dave Briggs,white house say order prioritizes job focus clean air clean water le regulating global warming
CNN,Early Start with Christine Romans and Dave Briggs,requirement measuring impact adding executive order focus clean air clean water le regulating global warming
CNN,New Day Saturday,proven false cnn victor blackwell report peddling conspiracy since campaign number 8 election day 2012 private citizen donald trump tweeted concept global warming
CNN,Fareed Zakaria GPS,pathway different rate change et cetera fundamental sign head epa essentially contested idea human activity causing global warming
CNN,Early Start with Christine Romans and Dave Briggs,primary greenhouse gas contributing climate change pruitt slammed director cannot imagine information would want understand
CNN,Early Start with Christine Romans and Dave Briggs,deal new detail executive order president trump plan sign today dramatically rolling back climate change
CNN,New Day,let talk assessment assertion brainwashing guy running epa scott pruitt know climbed many climate change denier refused answer wolf question ability whether would allow climate change
CNN,Anderson Cooper 360,detail pmy administration puttin end war coal reporter taking step strip regulation combat climate change
CNN,Anderson Cooper 360,manufacturing non competitive recently election interview new york time admitted connectivity human climate change
CNN,New Day,russian banker president set sign executive order rolling back environmental regulation say protecting american job important addressing climate change
CNN,Inside Politics,method miracle ™ welcome back busy day washington president trump later today sign order rolling back obama administration biggest domestic vie domestic climate change nir
CNN,Early Start with Christine Romans and Dave Briggs,international agreement web site read carbon dioxide greenhouse gas contributing climate change impact statement white house country rollback
CNN,Wolf,new one come sort understated statement interesting know dynamic coming meeting many difference immigration climate change
CNN,Anderson Cooper 360,fighting back got continue republican agenda tax break millionaire massive cut health care great increase expenditure military budget acknowledging reality climate change
CNN,Fareed Zakaria GPS,next gps snow sleet hot cold flood drought scientist agree human activity changing climate trump administration sure talk white house climate change ernest
CNN,CNN Newsroom With Brooke Baldwin,independence mark sat talk u think president obama think signature piece obamacare right around climate climate change
CNN,Fareed Zakaria GPS,paris agreement carbon target definition end paris meeting forget beginning paris meeting technology innovation put center solution climate change challenge
CNN,Inside Politics,tuesday clean power plan regulation regarding coal development know trump want roll back obama era regulation one addressing measure dealt climate change obama
CNN,The Lead With Jake Tapper,trump move roll back obama era regulation aimed curbing carbon emission global warming still believe climate change hoax thwarted attack police say foiled
CNN,CNN Newsroom With Brooke Baldwin,wayne tracker alias apparently adopted secretary state rex tillerson still ceo exxon mobil new york attorney general eric snyder man accusing tillerson using secret account discus risk posed climate change
CNN,State of the Union With Jake Tapper,agree primary contributor global warming see back 2008 senator said believe climate change real think devastating uncomfortable epa
CNN,Situation Room With Wolf Blitzer,curbing carbon emission global warming still believe climate change hoax thwarted attack police say foiled potential massacre planned student allegedly gathered weapon target high
CNN,Anderson Cooper 360,company going benefit financially see year two coal miner job come back know shame promise made going delivered sean spicer dodged question whether president trump belief climate change
CNN,Anderson Cooper 360,reporter climate change issue trump map 2012 saying tweet global warming concept created chinese order make u manufacturing non competitive recently election
CNN,Anderson Cooper 360,going bring coal industry back reporter climate change issue trump map 2012 saying tweet global warming concept created chinese order make u
CNN,New Day,effect global warming stop thorn side stop know would going far like republican generally embracing climate change fair first refreshing
CNN,Anderson Cooper 360,take heat communication brett ren bet know lot detail lot detail met something sean spicer knew take quick break president trump rolling back obama administration legacy combating climate change ending
CNN,CNN Newsroom With Brooke Baldwin,legally bound regulate greenhouse gas let wait see executive order say say understand question getting hahead
CNN,CNN Newsroom With Brooke Baldwin,legally bound regulate greenhouse gas let wait see executive order say say understand question getting hahead
CNN,Inside Politics,banned new coal mining right federal land slashed emission greenhouse gas power plant trump course want address latest draft executive order go boast
CNN,Fareed Zakaria GPS,emitting greenhouse gas atmosphere driving change rate much much rapid natural variation climate millenia
CNN,State of the Union With Jake Tapper,global warming crisis ask president obama energy secretary think
CNN,Early Start with Christine Romans and Dave Briggs,trump server thank fred new epa chief scott pruitt insisting carbon dioxide contributing factor global
CNN,State of the Union With Jake Tapper,president trump week slashed budget agency trying tackle global warming crisis last president
CNN,New Day,difficult task seem ignore motivation industry attribute global warming excess human behavior add global warming big part motivation well see argued
CNN,Anderson Cooper 360,even gone full affect yet president trump order allows new coal mine federal land lifting three year moratorium rescinds six obama executive order aimed curbing climate
CNN,CNN Newsroom With Brooke Baldwin,trying send eliminating lot funding science climate change research follow later sure couple different message talk science climate change let deal separately
CNN,Anderson Cooper 360,president trump order lift three year moratorium rescinds least six obama executive order aimed curbing climate change regulating carbon emission including one say climate change pose growing threat national security
CNN,CNN Newsroom With Fredricka Whitfield,reporter mixed reaction senator got sort liberal response individual member audience senator touched gun control climate well climate
CNN,State of the Union With Jake Tapper,epa demonstrator scott pruitt said carbon dioxide contributor global warming take listen agree climate
CNN,Early Start with Christine Romans and Dave Briggs,primary contributor global warming tremendous disagreement go epa web site state carbon dioxide
CNN,Fareed Zakaria GPS,prediction last year sure feeling yes data confirming prediction climate change human activity causing climate change answer yes although
CNN,Anderson Cooper 360,interview new york time admitted connectivity human climate change also telling trump choice scott pruitt head epa skeptic climate change sued epa
CNN,Inside Politics,stalled climate change president actually completely rolled back thing climate change whole lot evidence moving particular direction result power couple west wing
CNN,New Day,american talk politics 48 american believe global warming connected human activity caused human activity
CNN,Early Start with Christine Romans and Dave Briggs,remove requirement federal official make impacting decision prioritizes job fight global warming focus clean air
CNN,Inside Politics,scienti scientist think interesting second point politician debating lot republican moved debate lot conservative moved peace fact co2 contributing climate
CNN,Wolf,climate change well possibly misled investor effect climate change could business trying get document exxon get many mean million document including
CNN,Anderson Cooper 360,change regulating carbon emission including one say climate change pose threat national security another instructing federal government prepare impact climate change action represent largest attack climate action country history
CNN,The Lead With Jake Tapper,including one say climate change pose growing threat national security another instructing federal government prepare impact climate change action president trump taken today represent largest attack climate action country history
CNN,Fareed Zakaria GPS,go president trump week slashed budget agency trying tackle global warming crisis last president obama secretary mit physicist
CNN,CNN Newsroom With Ana Cabrera,trump tweeted global warming hoax chinese despite offering evidence science clear according noaa nasa nearly 17 hottest year
CNN,CNN Newsroom Live,turned lying major landmark mark earth hour paris eiffel tower plunged darkness call attention global warming people business dimmed
CNN,Early Start with Christine Romans and Dave Briggs,focus clean air clean water le global warming may signal exit u pair climate agreement show direction
CNN,Fareed Zakaria GPS,man accused ruining germany go president trump week slashed budget agency trying tackle global warming crisis ask president obama
CNN,Anderson Cooper 360,oklahoma attorney general continues cast doubt role carbon dioxide would agree primary contributor global warming see reporter white house
CNN,Anderson Cooper 360,another instructing federal government prepare impact climate change action represent largest attack climate action country history reporter still tbd paris climate change accord touch new change make harder meet benchmark agreement
CNN,CNN Newsroom With Victor Blackwell and Christi Paul,proven false cnn victor blackwell report trump pedaling conspiracy since campaign number eight election day 2012 private citizen donald trump tweeted concept global warming created
CNN,CNN Newsroom With Brooke Baldwin,headed consideration carbon tax discussed meeting white house hearing pretty lively internal debate
CNN,Wolf,global warming odds global scientific consensus president agree snippet said went said think know con collusively would suggest touch
CNN,Early Start with Christine Romans and Dave Briggs,tremendous disagreement degree mpact would agree primary contributor global warming see shocking fly face
CNN,Fareed Zakaria GPS,react thing say care global warming need job first need get energy production statement made sign might say
CNN,Fareed Zakaria GPS,take different pathway different rate change et cetera fundamental sign head epa contested idea human activity causing global warming let say implicitly
CNN,New Day,creating frustration white house get agenda way got president trump trying get back business going sign executive order today question good bad really thinking throwing bone climate
CNN,New Day,climate challenging tremendous disagreement degree impact would agree primary global warming see okay need continue debate review analysis
CNN,Inside Politics,degree impact would agree primary contributor global warming see know yet need continue review analysis shaking head
CNN,New Day,carbon dioxide primary contributor global warming put odds almost climate scientist brainwashing referring first know guy know well first actually
CNN,Fareed Zakaria GPS,hearing say care global warming need job first need get energy production first let say statement made science must say nonscientists
CNN,New Day,let keep mind amount would contribute global warming even figure talking epa right would 0 2 even measurable people like say
CNN,New Day,major cause global warming first debate going bottom line even right right think quoting still make
CNN,New Day,31 get reaction next senate called climate change greatest hoax
CNN,Situation Room With Wolf Blitzer,disagreement degree impact would agree primary contributor global warming see okay know yet need continue review analysis say would
CNN,Anderson Cooper 360,primary contributor global warming see reporter white house touting today move campaign promise kept goal job creation claim mining industry embracing miner owner bullish
CNN,CNN Newsroom With Brooke Baldwin,gary comb might prone president considering carbon tax robust debate going respect comprehensive tax reform mentioned goal right
CNN,New Day,economic vierenvironmen line private citizen put relief global warming effect gone hoax played way idea american people believe take look
CNN,Situation Room With Wolf Blitzer,climb climate change passing bogus law make harder people vote election day start well
CNN,Erin Burnett OutFront,appreciate next president trump fire climate change jeanne moo president trump move hey ready foyeah big meeting
CNN,New Day,primary contributor climate change mean future america environmental policy look science next te
CNN,CNN Newsroom Live,new york finally dark hour aimed shedding light climate change moscow red square among city world
CNN,CNN Newsroom With Brooke Baldwin,question climate change president obama signed bilateral climate deal brazil china india well first one
CNN,CNN Newsroom Live,light went moscow one place turned light major landmark paris eiffel tower plunged darkness call attention global warming people business also dimmed light hour 8 30
CNN,CNN Newsroom With Ana Cabrera,record occurred since 2000 november 2016 election win trump conceded human impact climate change coming number 7
CNN,Situation Room With Wolf Blitzer,moratorium rekrinds least six executive order aimed reducing climate change inclusion one say climb thank theat
CNN,At This Hour With Kate Bolduan,say pseudonym wayne tracker used send e mail related important matter including climate change let go diplomatic correspondent michelle
CNN,New Day,made mitt romney always fair point say climate change hoax neither trump applying relief golf course
CNN,New Day,undo president obama climate change agenda white house say aimed protecting american job let bring back panel maggie jackie kucinich david drucker
CNN,Inside Politics,awareness climate change many circle think completely turn back time said lot authority point person climate
CNN,Wolf,week involving environmental protection agency official said look curb federal government enforcement climate regulation putting american job addressing climate change react move
CNN,Anderson Cooper 360,great increase expenditure military budget acknowledging reality climate change idea way touch job rally american
CNN,Wolf,general wayne tracker actually rex tillerson united state secretary state attorney general accusing tillerson using pseudonym discussing climate change time ceo
CNN,CNN Newsroom With Brooke Baldwin,york attorney general say exxon mobil continuously delaying trying obstruct investigation whether exxon mobil misled consumer investor climate change potential effect
CNN,Erin Burnett OutFront,alias investigating exxonmobil tillerson used wayne tracker discus sensitive issue including climate change exxonmobil admitting account existed michelle kosinski front reporter rex tillerson
CNN,Wolf,interpret something else president still believe climate change hoax think hear today belief believe mention
CNN,Situation Room With Wolf Blitzer,quantity whatsoever yet another sign difference obama trump administration ishls donald trump say compliment climate change meantime former present
CNN,New Day Sunday,public health well addressing climate change epa undermine growth economy gdp tripled time air pollution reduced 70
CNN,Fareed Zakaria GPS,prediction last year think become sure feeling yes data confirming prediction climate change human activity
CNN,Fareed Zakaria GPS,causing climate change answer yes although want emphasize entire scientific community last couple decade gone stronger stronger statement
CNN,CNN Newsroom With Brooke Baldwin,regard climate change president fairly clear spending money anymore specific tie campaign quick meal wheel mentioned one
CNN,Early Start with Christine Romans and Dave Briggs,james inhofe called climate change hoax want get thought president latest executive order want show new professional photo
CNN,New Day,signed executive order rolling back u climate change commitment saying job president living job creation claim let discus steven moore
CNN,Early Start with Christine Romans and Dave Briggs,private real estate major change american policy climate change rolled todayme detail president next executive order another rejection obama era policy trying wipe entirely
